,epoch,loss
0,1,tensor(0.0005)
1,1,tensor(0.0004)
2,1,tensor(0.0002)
3,1,tensor(3.5971e-05)
4,1,tensor(0.0024)
5,1,tensor(0.0073)
6,2,tensor(0.0010)
7,2,tensor(0.0035)
8,2,tensor(0.0007)
9,2,tensor(0.0020)
10,2,tensor(0.0177)
11,2,tensor(0.0018)
12,3,tensor(0.0089)
13,3,tensor(0.0012)
14,3,tensor(0.0004)
15,3,tensor(0.0149)
16,3,tensor(0.0006)
17,3,tensor(0.0004)
18,4,tensor(6.7563e-05)
19,4,tensor(0.0002)
20,4,tensor(0.0006)
21,4,tensor(0.0002)
22,4,tensor(0.0003)
23,4,tensor(0.0008)
24,5,tensor(0.0004)
25,5,tensor(0.0001)
26,5,tensor(8.7616e-05)
27,5,tensor(1.0900e-05)
28,5,tensor(0.0001)
29,5,tensor(8.7681e-06)
30,6,tensor(8.7645e-05)
31,6,tensor(0.0003)
32,6,tensor(0.0001)
33,6,tensor(0.0001)
34,6,tensor(0.0001)
35,6,tensor(3.5248e-05)
36,7,tensor(0.0001)
37,7,tensor(5.1860e-05)
38,7,tensor(0.0001)
39,7,tensor(0.0002)
40,7,tensor(0.0002)
41,7,tensor(1.8742e-05)
42,8,tensor(1.0146e-05)
43,8,tensor(5.4496e-05)
44,8,tensor(8.1216e-05)
45,8,tensor(4.0909e-05)
46,8,tensor(1.2028e-05)
47,8,tensor(6.2980e-05)
48,9,tensor(1.8572e-05)
49,9,tensor(2.0295e-05)
50,9,tensor(3.7702e-05)
51,9,tensor(8.8974e-05)
52,9,tensor(0.0001)
53,9,tensor(2.0600e-05)
54,10,tensor(3.6997e-05)
55,10,tensor(7.1316e-05)
56,10,tensor(4.1715e-05)
57,10,tensor(3.7722e-05)
58,10,tensor(3.9284e-05)
59,10,tensor(5.2181e-05)
60,11,tensor(1.8980e-05)
61,11,tensor(9.9587e-05)
62,11,tensor(6.0102e-06)
63,11,tensor(7.7579e-05)
64,11,tensor(5.2742e-05)
65,11,tensor(0.0431)
66,12,tensor(0.0180)
67,12,tensor(0.0005)
68,12,tensor(0.0031)
69,12,tensor(0.0044)
70,12,tensor(0.0002)
71,12,tensor(0.0231)
72,13,tensor(6.6256e-05)
73,13,tensor(0.0100)
74,13,tensor(0.0011)
75,13,tensor(0.0005)
76,13,tensor(0.0038)
77,13,tensor(0.0063)
78,14,tensor(0.0001)
79,14,tensor(1.9216e-05)
80,14,tensor(6.6684e-05)
81,14,tensor(0.0002)
82,14,tensor(0.0002)
83,14,tensor(0.0001)
84,15,tensor(3.2071e-05)
85,15,tensor(0.0003)
86,15,tensor(3.2916e-05)
87,15,tensor(0.0001)
88,15,tensor(0.0003)
89,15,tensor(0.0002)
90,16,tensor(3.2964e-05)
91,16,tensor(5.3934e-05)
92,16,tensor(1.6443e-05)
93,16,tensor(3.2990e-05)
94,16,tensor(6.8955e-05)
95,16,tensor(0.0001)
96,17,tensor(6.4538e-05)
97,17,tensor(8.2103e-06)
98,17,tensor(0.0003)
99,17,tensor(2.9445e-05)
100,17,tensor(2.6253e-05)
101,17,tensor(2.2822e-05)
102,18,tensor(2.3941e-05)
103,18,tensor(2.7297e-06)
104,18,tensor(9.4350e-05)
105,18,tensor(2.1386e-05)
106,18,tensor(3.5325e-05)
107,18,tensor(5.0344e-05)
108,19,tensor(2.9467e-05)
109,19,tensor(9.5241e-06)
110,19,tensor(6.0001e-05)
111,19,tensor(3.4331e-05)
112,19,tensor(9.1829e-05)
113,19,tensor(8.1524e-05)
114,20,tensor(8.9996e-06)
115,20,tensor(1.1016e-05)
116,20,tensor(3.1008e-05)
117,20,tensor(3.1165e-05)
118,20,tensor(1.7163e-05)
119,20,tensor(6.8846e-05)
